tweet_id,sentiment,author,content,dominant_emotion
1956972097,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",amusement
1956976312,sadness,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,amusement
1956982449,worry,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!,amusement
1956983690,sadness,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,amusement
1956989093,love,Angela_Grace,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha,amusement
1957007268,fun,EmaMolly,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,amusement
1957018678,empty,oohZOE,"@TheTombert i was watching Harpers Island, lol... there was no vodka involved",amusement
1957025428,sadness,lungjen,"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol",amusement
1957030622,hate,sharnanicole,@lanacaitlin  hahaha well its try its so ugly,amusement
1957041812,hate,MissxMarisa,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",amusement
1957046090,worry,TweedyLynn,My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie,amusement
1957051517,sadness,sloanquigley,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha",amusement
1957055396,neutral,girlyghost,good morning work this morning gutted lol nevermind,amusement
1957056041,neutral,AmyJade,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,amusement
1957063783,hate,Craz_Monkay21,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,amusement
1957073668,enthusiasm,kort030,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,amusement
1957075268,happiness,mrs_mcsupergirl,@PandaMayhem noooooooooooo i just look at a lot of pictures   lol lol,amusement
1957092623,sadness,drewcuano,@angelica_yo LOL wow dawg doesn't sound like you're playing!  I feel bad now haha,amusement
1957097730,enthusiasm,dappyiznum1,@calvinharris stop talkin about food haha fill like sum nw  hha hows your day goin or starting,amusement
1957107599,surprise,mrscwuby,lol i cant drink!!,amusement
1957113346,happiness,dantrancisco,"@o0hemmy lol hi emmy, latin would help me study for the aptitude tests to get into grad school ;\ thats why i wanna take it",amusement
1957113687,relief,VarianDavid,@kaseypoteet LOL yeah yeah you big perv ;) Was hoping to see you next week but scrapped plans,amusement
1957118207,neutral,vliemena,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer",amusement
1957121259,sadness,mel95,even though everyone wanted to do a newish song and our teacher agreed :S old grumpy doesn't like us happy  haha,amusement
1957123747,love,bella_facia,"@heresmyhello92 LOL, very true. Maybe next year. I loooved that siggy, and I don't remember what the password for the mod thing was  Cake?",amusement
1957127234,love,ilovejulietoo,Hahaha! Alright  ..,amusement
1957131196,sadness,mz_kellyy,as if i finsh work at eleven.. IS THAT EVEN ALLOWD?  cauz i really dont want to.. lol,amusement
1957139587,sadness,elizbethunny,its funny. i'm kinda sad on my last day,amusement
1957139668,neutral,jakieee08,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol,amusement
1957147665,love,Melissataylor15,"@daveockun I hate you , Fleetwood is my favorite band...I'm so jealous  ok I still love you haha",amusement
1957147848,surprise,sammy148,So wish the Carlton game was on live  stupid channel 7 lol.,amusement
1957148955,love,Adalias_Grave,i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd F1 to an extent @yellowshirts,amusement
1957150281,fun,joeboyfresh,@BriannaBanshee such a dissapointment  hhaha,amusement
1957150462,sadness,chelsea_playboy,oh no my tweetdeck is malfunctioning :O il have web will its fixd,amusement
1957151748,sadness,ShamelessAngel,Just got my ass kicked in Tripoly lol  I got such bad cards... i suck,amusement
1957154044,worry,WillSpringfield,"@MelissaLynnette naw, it doesnt match up LOL and i have no shenanigans to discuss...  but i did do the thing...",amusement
1957164607,love,Hanzi83,@kirstiealley funny u havent showed me any love yet at all,amusement
1957169451,sadness,princessniki1,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit",amusement
1957175518,neutral,BrookeAmanda,"@allysonalfonso haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol",amusement
1957178636,worry,CandleNtheDark,why do i think i have to take medicine cuz i was laughing to hard?. my head should not be in this much pain. i thought laughter was gud,amusement
1957181400,neutral,MariahHoneyLee,@JWess awww  ok lol hopefully by than im still here and not back over in the states,amusement
1957189551,sadness,movewithme,"@hobosexual lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/",amusement
1957190628,love,JacquiOx,@mattpro13 Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya xx,amusement
1957194329,happiness,tineymarie,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL,amusement
1957196203,surprise,badtwin,"@movewithme lol ik they are, but i figure i've kept it for a year+ without needing virus software or to get it fixed  sigh",amusement
1957202373,fun,Embabe09,@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?,amusement
1957204629,worry,HiImMimi,Why am I still upppp????? LOL.  Work in less than 5 hours.,amusement
1957205912,neutral,sammiidizzle,"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts",amusement
1957229627,surprise,DjDATZ,"@mandy2610 and @esko yea, just confirmed that this game indeed is already patched...  LOL guess you'll have to help me tomorrow ;)",amusement
1957232619,fun,lowennn,is it unny today or not? taking too long to decide haha. i wna get a tan,amusement
1957243682,neutral,anambanana,"Summer is about to end.  For some, it's just about to start. Hahah.",amusement
1957245567,worry,BrookeAmanda,"@allysonalfonso yeahh, yeah its the hifi lol. grr dads being a pain, he said if i dont find anyone to go with i cant go :@",amusement
1957259752,happiness,Valeriuh,hahaha yeah i see that. but he can't twitter me back,amusement
1957265116,worry,GracieAlbernaz,@DannysGhirl no sleeping for me im at work   it will be summer break soon. Tell them to get there butts out of bed lol,amusement
1957275627,happiness,sophiastication,@assembled ive been there before  haha,amusement
1957285542,worry,grentone,@starlingpoet lol.. that's worrying,amusement
1957292590,fun,thatgirlFel,@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,amusement
1957293095,sadness,NikkiMontana,@USOuljah Ohh Emmm Geee. Souvlaki from Dimitris...I wanna go homeeee  LOL,amusement
1957302412,worry,5yntifik,Is. this. a. lie? FML. F uuuuuuu. I can be such a fool sometimes,amusement
1957302602,happiness,gyurnec,@captainboots  YOU'RE FAKING IT! Hahaha...I kid.,amusement
1957303384,surprise,AyoMillions,@mzstokes No twitpic?  lol,amusement
1957305935,hate,epicwinmaster,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?,amusement
1957316459,sadness,BARACKOKITTY,@J2thaESSICA yeah dnt go there.. I have 3 dif apps on my phone for it  so sad but there is a reason as to why lol,amusement
1957318668,worry,danielbedford,@kyza holy cute! Dexter has already lost his kitten face  gettin a chunky butt since we got back from qld too haha,amusement
1957325406,worry,totalimortal,@melisamelisa haha you have a better life than most. we should go get drinks again soon. jury duty has been boring,amusement
1957335162,fun,A_RAVEN,@kevindavis1914 @taylorblack said no  ...she'll b @ home in 5mins to tweet u lol,amusement
1957341444,sadness,Tomi1190,2moro is the end of my stay @Grandmas to bad shes in NY Then off 2Ft Laud 4a weddin Florida is fun but i miss Home and Spike(car) lol,amusement
1957351556,sadness,kimmychoo,"Season 1 of Lie To Me was serious. Damn, now here comes the wait.",amusement
1957355196,relief,Babii_J,"Bout 2 lay iit down, got a head ache   @niariley we hangin tomorrow idont care wat u say lol..soooo dm me ur # &amp; imma hit u tomorrow k ;)",amusement
1957356574,relief,dudeitsmanda,@trinsgarcia Yeah I`m okay. I couldn`t breathe for like 7 seconds.  I thought I was gonna die. Hahaha,amusement
1957357361,happiness,emcrxtna,@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?,amusement
1957358992,sadness,BARACKOKITTY,@Jazzy813 I miss my neice  can't wait to see her bad n grown ass! Lol,amusement
1957359907,worry,dudeitsmanda,@erikamodina Yeah ! I downloaded her whole album. :&quot;&gt; THE FAME ! I miss you taking care of me  Hahah !,amusement
1957372567,worry,BriBriD,@andyclemmensen Me too  @shortstackband haha I did but have no credit,amusement
1957380003,worry,JulieBinnie92,just going into school 2 get some spanish CDs &quot;sigueee&quot; haha. Then guess what my plans are .. studying all day again!,amusement
1957382337,worry,Feebz78,it seems my phone is dying!  boo!,amusement
1957386633,fun,bannersrus,@joanne7964 yeah I was like oh oh oh yeah that's it but then she said no  lol bummer,amusement
1957386977,neutral,ahhrjay,1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today   Freakin filipino parents AHA,amusement
1957389794,fun,histapleface,@ThatPaigeKid haha so your having father daugter bonding time? Lol anyways I g2g work get on msn later I'll be bored  x,amusement
1957389932,neutral,ahhrjay,@emcrxtna 1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today  Freakin filipino parents AHA,amusement
1957398625,relief,KLNY,@melkoo If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,amusement
1957403939,fun,insertsmiley,@amyypee LOL i know! i only get to read it sometimes though cos my dad always chucks it out before he gets home,amusement
