tweet_id,sentiment,author,content,dominant_emotion
1957000040,sadness,minauderie,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",disgust
1957010415,worry,trina3mg,Needs a job BADLY!!!,disgust
1957038398,sadness,christynnicole,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,disgust
1957070534,sadness,jjae725,@meljachin: eww. dislike,disgust
1957079533,worry,hot_firekitty,damn being drunk and hot sucks,disgust
1957088900,worry,TriciaRuiiiz,"My nose is runny, my head is pounding, and teeth hurt like a bitch. MAN. @-) I feel awful.  =((",disgust
1957090493,surprise,FeistyRedheadHB,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.,disgust
1957142715,hate,whiterr_x,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!",disgust
1957166877,sadness,j7en_16,i feel really weird,disgust
1957174125,sadness,sesh,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be,disgust
1957188806,hate,maojoa,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!",disgust
1957195244,sadness,She_shines92,@theblackestsea oh crap!!,disgust
1957204970,sadness,audreywilles,bed. with stomach ache,disgust
1957230479,boredom,Jen_Paris,Feeling nauseous and can't sleep.,disgust
1957237879,worry,Lalaaleslie,Ew I have creepy followers,disgust
1957249020,neutral,bekkalynnerks,Ugh cant sleep on  this bus.  still have like 5 hours,disgust
1957249452,sadness,_erica,"@kesoleil Oh man, Did Yogg today. Worse than last week.",disgust
1957269543,hate,kristinarosexxx,@iamivanxxx That sucks to hear. I hate days like that,disgust
1957328258,hate,CloudiestClairy,i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!,disgust
1957328439,worry,crmsh,Hoping that this will just heal on it's own because anything I put on it just makes it worse. Owww,disgust
1957334622,sadness,Tanujkakkar,"Bad day, just got worse...",disgust
1957374741,sadness,ShotaD,Heavily medicated but can't sleep. Ugh...,disgust
1957471166,worry,damohopo,"@thatlass yeah, it's gonna be rubbish!",disgust
1957477924,worry,stellery,@_erica /hugs those are the worst. Mine used to be really bad on the first day..sometimes can't even get out of bed.,disgust
1957494894,hate,kleyva,Have you ever stepped on a slug by accident? I just did  I hate bugs,disgust
1957500749,worry,leysonnet,down with a nasty cold in cagayan de oro,disgust
1957502220,empty,Exyso,dog just farted  so bad.....,disgust
1957522313,worry,thezachkoche,"Whataburger closing all locations but tally  so harsh, might have to transfer schools",disgust
1957525246,worry,divabat,@Scarlettjen fuck. it should be recoverable. it's just the boot part that's messed up. grr argh. my business was on there.,disgust
1957563348,worry,minauderie,"@Rina_spn aww  sick? and i hate soup, too",disgust
1957598944,neutral,jtetsuya,All of a sudden I'm craving broccoli and cheese soup really bad...  oh the hunger,disgust
1957602754,sadness,hannahbeth1990,"nothing could get worse, or could it? if it did i think id be on the verge of killing myself or someone else, things are not good anymore",disgust
1957605698,neutral,AisforAudrey,i have a yucky burn,disgust
1957607620,neutral,jtetsuya,All of a sudden I'm craving broccoli and cheese soup really bad... my mouth is watering envisioning a bread bowl in my head...,disgust
1957611873,sadness,aliyaki,"@papermelody although these are a BIT tighter (smaaaaller) than my last pair, they were baggy as hell, now I get front wedgies",disgust
1957612853,sadness,ruthie_0_o,"Damn, got Chili Beans on my shirt  I hate that I can be a messy eater. Such a lady!",disgust
1957623928,worry,jenjenmyfriend,Trying to get some sleep but cant  i gotta wake up early for my doctors appointment too ugh!!,disgust
1957648527,worry,ginny_with_a_g,I'm awake and can't sleep bc I'm feeling sick  yuck!!!,disgust
1957651728,sadness,mummyjane,Is now crying  Omg I am fed up with this pain !!!,disgust
1957673862,neutral,EvoSim,Came out of my house this morning to the stink of cat poo. I have cats doing their business in my little bit of garden.,disgust
1957677542,worry,bootyhouse,ugh. I totally can't sleep.,disgust
1957702096,sadness,RussellBfan90,@pinkbunny69 awww thts no good hun-i'm having the worst day as i'm sick as,disgust
1957705597,worry,scenexbbyx13,"fuck, can't sleep.  feening for cigs. i'm horrible. :X",disgust
1957718513,sadness,mizsedz,"@KINGmoney yep and its freezing, i hate winter  im literally wearing blackets",disgust
1957753872,worry,thepurplediva,The sun is wonderful but makes me feel incredibly fat.. The less clothes and more exposure thing  today I diet. Again......,disgust
1957756631,neutral,btudor,@sdrb  You've got to love fly tippers: http://tinyurl.com/mt4opc  Worst I've seen is a dead mule dumped on Holmbury Hill.,disgust
1958056577,surprise,mam1cutie,@pntbtrkisses WHAT! That's horrible! To purposely write about it to a bunny is just mean &amp; cruel!    Not to mention just plain tacky....,disgust
1958076599,worry,ThursDaughter,"Fyi- putting makeup on under flourescents = FAIL. ... oh face-peely, why must you look so hideous? Also, wheres my lipstick?",disgust
1958079581,worry,jordandiana1,exams are the worst mahn!! 2 to go,disgust
1958103791,worry,criticalhit,Oh man. I have been sick all night. I feel awful.,disgust
1958118652,surprise,iAppleGeek1,Just had my hair cut it looks like shit,disgust
1960129867,anger,jasminbryant,@mikeavila ack! I just read about your show  that's horrible!!! No accounting for taste.,disgust
1960140442,sadness,SadiquaP,"@onlyme614 girl yes, as if having it where you CANT see it wont gross enough",disgust
1960200977,surprise,RnRFan119,i have sore throat. that's suck.,disgust
1960203449,sadness,FenixWings,@lewace11 that sucks man,disgust
