tweet_id,sentiment,author,content,dominant_emotion
1956967666,sadness,wannamama,Layin n bed with a headache  ughhhh...waitin on your call...,neutral
1956967696,sadness,coolfunky,Funeral ceremony...gloomy friday...,joy
1956968487,sadness,ShansBee,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",neutral
1956969035,sadness,nic0lepaula,@charviray Charlene my love. I miss you,love
1956969172,sadness,Ingenue_Em,@kelcouch I'm sorry  at least it's Friday?,remorse
1956970047,sadness,Danied32,Ugh! I have to beat this stupid song to get to the next  rude!,annoyance
1956970424,sadness,Samm_xo,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,realization
1956971077,sadness,Sim_34,The storm is here and the electricity is gone,neutral
1956971206,sadness,brokenangel1982,So sleepy again and it's not even that late. I fail once again.,realization
1956971586,sadness,cleepow,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness
1956972359,sadness,xamountoftruth,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,neutral
1956972557,sadness,LilithGaea,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",remorse
1956973598,sadness,username_origin,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,annoyance
1956976312,sadness,amy__xx,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,amusement
1956979150,sadness,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,realization
1956982383,sadness,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sadness
1956982576,sadness,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
1956982605,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,desire
1956983160,sadness,crittyjoy,@Pokinatcha  in all honesty...pain   blech.,sadness
1956983171,sadness,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
1956983690,sadness,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,amusement
1956985764,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,curiosity
1956986211,sadness,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",realization
1956986767,sadness,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,love
1956989514,sadness,yellowduckx,@sweeetnspicy hiii im on my ipod...i cant fall asleep,neutral
1956989526,sadness,KaKuBby,dont wanna work 11-830 tomorrow  but i get paid,disapproval
1956989560,sadness,benchidol,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sadness
1956990568,sadness,sarah_walter,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,disapproval
1956991673,sadness,M0anique,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,disappointment
1956992030,sadness,mafiaman8108,"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",desire
1956995196,sadness,jnvelasquez912,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,caring
1956995762,sadness,foxtail84,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,neutral
1956996730,sadness,Rowch,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,curiosity
1956996776,sadness,KitaCupcake,Is miserable  i feel like im gona cry  sux!,sadness
1956998532,sadness,katienaas,*sigh* I'm going to bed... I just don't feel right anymore...,neutral
1956998704,sadness,sillynic,Now I am depressed after watching so you think you can dance,disappointment
1957000040,sadness,minauderie,"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",disgust
1957002082,sadness,V0NST3V3,"Last day working for the Uni today, sad times",sadness
1957005226,sadness,GiselleLee,is still missing her husband.    I really want him home.,sadness
