tweet_id,sentiment,author,content,dominant_emotion
1956974706,hate,MavrickAces,It is so annoying when she starts typing on her computer in the middle of the night!,annoyance
1956987600,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,annoyance
1956989601,hate,M0anique,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,disappointment
1956990288,hate,MissPassion,@mrgenius23 You win ... SIGH Rakeem,neutral
1956991009,hate,rdyfrde,"@soviet_star Damn, that sucks",anger
1956991704,hate,Tweetyangie,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up,neutral
1956996081,hate,snursalim,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku,neutral
1956996673,hate,Merekdavis,@britblackbird  youstinkatrespondingtotexts!,neutral
1957004749,hate,golden_one,don't you hate it when you finish all your work and there's still 1.25 hours left of work time,anger
1957009666,hate,wendyisastar,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,approval
1957013166,hate,jupzchris,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin,neutral
1957013723,hate,babygurl0791,would wish the severe migrains would stop!!! doc's prescriptions arent working,desire
1957013895,hate,kkjordan,@tiffalo cuz airlines are super lame.,disapproval
1957014493,hate,Taynted_lyfe,I'm so very tired...and have insomnia.,neutral
1957014706,hate,butteredninja,"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.",anger
1957021486,hate,karissaferg,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.,fear
1957023263,hate,youulovemee,"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.",fear
1957023739,hate,Tin06,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!,neutral
1957030622,hate,sharnanicole,@lanacaitlin  hahaha well its try its so ugly,amusement
1957033874,hate,Lilixbabi3,I hate when my bf beats da dogs. But I guess that the only way to teach these pitts.,anger
1957034289,hate,kimba1bl,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!,gratitude
1957035950,hate,geezitslouize,my roommate @tess_tickle loves to ignore me,love
1957038470,hate,No1PanicFan,"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",neutral
1957041812,hate,MissxMarisa,"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set",amusement
1957044935,hate,helenmurdock,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor,anger
1957048703,hate,JBMareMareJB,@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??,neutral
1957050633,hate,STAR13R,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",annoyance
1957055530,hate,TK04,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!,excitement
1957061884,hate,caitimac,@all_is_one84 Those suck so bad.,anger
1957063783,hate,Craz_Monkay21,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.,amusement
1957073753,hate,imayami,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,neutral
1957076577,hate,benfulghum,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;,neutral
1957082538,hate,sin__,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw],neutral
1957085151,hate,josh_kim,@juliaiiivir Hey! That's my school! I hate that place.,anger
1957094812,hate,vyvien,"plan may changes , nooooooo",neutral
1957094989,hate,tonydeanxo,my sister is a douchebag,annoyance
1957105472,hate,hiracdelest,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes,annoyance
1957106609,hate,Anne_A4L,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready,annoyance
1957114604,hate,Fiibs,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ...",admiration
1957127251,hate,ver0nica,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!,neutral
1957142715,hate,whiterr_x,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!",disgust
1957145531,hate,holleeann91,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit,anger
1957145817,hate,Jessicahhhh,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!",annoyance
