tweet_id,sentiment,author,content,dominant_emotion
1956968416,neutral,xkilljoyx,"@dannycastillo We want to trade with someone who has Houston tickets, but no one will.",desire
1956969456,neutral,feinyheiny,cant fall asleep,neutral
1956972116,neutral,jansc,No Topic Maps talks at the Balisage Markup Conference 2009   Program online at http://tr.im/mL6Z (via @bobdc) #topicmaps,neutral
1956975441,neutral,LovableKeKe,@cynthia_123 i cant sleep,neutral
1956975860,neutral,analalalah,I missed the bl***y bus!!!!!!!!,sadness
1956975876,neutral,jubaldo,feels strong contractions but wants to go out.  http://plurk.com/p/wxidk,neutral
1956975927,neutral,mikhaelaela,SoCal!  stoked. or maybe not.. tomorrow,excitement
1956976187,neutral,ivoflipse5,Screw you @davidbrussee! I only have 3 weeks...,anger
1956976557,neutral,JanBenn,has work this afternoon,neutral
1956976681,neutral,HarryHarley,@GABBYiSACTiVE Aw you would not unfollow me would you? Then I would cry,sadness
1956979437,neutral,shenamygans,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",disapproval
1956979756,neutral,ryarellano,wnna take a bath!!!!,neutral
1956979894,neutral,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,approval
1956980788,neutral,nathaliep,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",neutral
1956980883,neutral,hollywoods500,@benballer  no way! damn that sucks B!  are you ok?,caring
1956981850,neutral,robuttley,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,neutral
1956982075,neutral,minamic,@lostluna But I got dibs on Sulu...,neutral
1956983467,neutral,njc87,At home alone with not much to do,neutral
1956983931,neutral,MunkyMunch,I cant give @jertronic any bday nudges.,neutral
1956984205,neutral,chicabajoelsol,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,joy
1956984559,neutral,Marielii,says I miss plurking.  http://plurk.com/p/wxion,sadness
1956984894,neutral,Chai_Bo,I miss Voobys!,sadness
1956985129,neutral,Cookphotos,@Dancing_Monk Neither are ELP!!,neutral
1956985973,neutral,ssabz,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,neutral
1956988145,neutral,padfootly,@lepetitagneau what's going on sweetheart?,love
1956988218,neutral,callatya,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",annoyance
1956988477,neutral,enlightenthem,@willxxmobb work at 6am. Gotta go to bed soon,neutral
1956989561,neutral,outrAjusCharmer,PrinceCharming,neutral
1956990413,neutral,Wendywitwoo,Oh is that time for real?,surprise
1956992349,neutral,jarekpastor,@justamedicine  That was stone cold   Crazy....  ?,neutral
1956993080,neutral,cheiyinkeithsui,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,neutral
1956993206,neutral,dashdragan,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,neutral
1956994067,neutral,lockerhaxor,@thecreativeone I second that. I wish it rained more where I am,desire
1956995505,neutral,twakatovsrocks,damn it were is Eric or anyone else when you need your hair to be played with,neutral
1956995679,neutral,jmil1733,I'm feel deflated. Ugh. No more dog.,disappointment
1956995852,neutral,ErikaAlexxis,Well it almost was a good day... Guess I just retry tomorrow,joy
1956997143,neutral,louiethecat,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,neutral
1956997619,neutral,kudosbeauty,"claire @breakfastnt love the show, got into the office @ 5am and no radio",neutral
1956998538,neutral,jeannicole,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,disappointment
1956998698,neutral,FoOie,@jwillock EpiCentre Wheelock Place - tourists only..,neutral
1957000077,neutral,danzjoe,miss 16'th,neutral
1957000152,neutral,RoxieDax,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.",confusion
1957000314,neutral,Phenikone,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,sadness
1957000372,neutral,cv70,what is it with chocolates? i just can never say no,curiosity
1957001049,neutral,amy__xx,@ether_radio i'm too awake now  ill have a nap this afternoon,neutral
1957001496,neutral,miss_sammi,still needs another 6 hours of sleep,neutral
1957001967,neutral,mozwold,"Morning tweeple,way to early again",realization
1957003715,neutral,BlaqueBeautyy,"where are all ma bestfriends at ? , MIA or wat ?",curiosity
1957006074,neutral,rnbprincess79,fun in the sun hmmm hell no it's cold,joy
1957006725,neutral,andrewjennings,@juneyee i don't think so.  I WANT DETAILS.,desire
1957006830,neutral,AddITame,@jackgraycnn Hi...!!! Who is Mary Poppins???,neutral
1957007167,neutral,Dillontate,my last tweet didn't send  bad phone,neutral
1957007394,neutral,jarekpastor,@taxidermi  I was watching Parental Control,neutral
1957013149,neutral,cheeseyy,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,joy
1957013488,neutral,LetitiaIvy,@aiderushton ill be over in an oir,neutral
1957013697,neutral,Labellajuicy,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,neutral
1957014517,neutral,dalastmil62,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,joy
1957014653,neutral,sloanquigley,@yelgiuQnayR airport? and you didnt show up tonight homo!,neutral
1957015287,neutral,skk123,@MrRathbone what about me,neutral
1957015475,neutral,WgtnCoffeeCup,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking",curiosity
1957016169,neutral,thatonebroad,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,neutral
1957017333,neutral,serinurshira,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,neutral
1957017486,neutral,skypen,@ poll : was trying to get it to work in a powerpoint to no avail.,neutral
