tweet_id,sentiment,author,content,dominant_emotion
1956993007,boredom,villa_ld,i'm so tired,neutral
1957038475,boredom,kameezy,Waiting in line @ tryst,neutral
1957044366,boredom,snoopync18,why did i agree to work a double shift,approval
1957083786,boredom,munkeysmomma,"is really, really bored... I guess I will go to bed",neutral
1957102562,boredom,Quastbabynumbr5,So deep its priecing my soul,neutral
1957183352,boredom,shandatru,"THIS TWITTER SHIT BORES ME, NOW I C Y I HAVEN'T BEEN ON HERE IN A MONTH",fear
1957208962,boredom,M_Rice,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out,disappointment
1957217758,boredom,kazkiely,Tweeting from the tarmac at Cork Airport. Delayed,neutral
1957230479,boredom,Jen_Paris,Feeling nauseous and can't sleep.,disgust
1957249686,boredom,shaunau,Friday tubes at work are slow..,neutral
1957271601,boredom,Arwa_3green,omg i realy can't sleep ughh,surprise
1957305026,boredom,GrahamGerritsen,Gogol Bordello &lt; par.    Prolly not even in the top 10 of GB shows I've seen.   Perhaps some old fashioned Civilization II will help?,realization
1957306189,boredom,gemidjy,@Natalija been there  sucks like hell.,anger
1957318577,boredom,TinaELITE222,is really ultra bored,disappointment
1957413593,boredom,lorraincium,"Last Chemistry lesson for this school year!  On a brighter note, my birthday will be sandwiched between two days in chemistry lab!",joy
1957501257,boredom,caffeinatedKiss,My brother just woke me up to help him with his homework. I'm not happy,joy
1957509927,boredom,CerysLoach,just woke up day off and need to go in to work that sucks. Also have to go dentist for filling at 12 then st helens for mri scan at 2,annoyance
1957516892,boredom,Shinybiscuit,"Finishing the video. Fuck me, it's so long",joy
1957530907,boredom,ssloth,"don't know what to do today.  amazing weather and i'm sitting here, great.",admiration
1957588348,boredom,ciaranhenderson,@solobasssteve I'm with you there - filing is so much less fun than sorting cos you still have to look at it &amp; hunt down details,neutral
1957600441,boredom,tnyaeezawesome,fo shizzle. . . i'm bored and wanna go do something.  wish i went to pisay today. oh wellz. wonder who were there.,desire
1957718245,boredom,thoehler,Again documentation day,neutral
1958073174,boredom,Nathalie95,why im not sleeping  !!,curiosity
1958074533,boredom,APampos,i think that studying has really started taking its toll..,realization
1958115243,boredom,axely,im bored.. RC is goin maintenance,annoyance
1958115823,boredom,Pnpy,I need something t do like hello... Im fucking bored now.  um... yeh...,annoyance
1960133316,boredom,JamieTownsend,"is boiling in the office, air con any1 ?",curiosity
1960143638,boredom,reesehorvath,Cleaning the old apartment today. Yay...,excitement
1960197782,boredom,BigCatMamma,@memow what did you think of the finale?  I thought it was kind of a cheap way out,curiosity
1960327485,boredom,cassbabyy,in math class waiting for lunchhhhhhhh. seniors are done in fifteen minutes,neutral
1960538385,boredom,lolitajane,trying to finish my ass-ignment.please god help me to finish it,neutral
1960538791,boredom,elaineinspired,@MeanMillies boo,neutral
1960572404,boredom,89xoxolaura,nomatter how much i sleep am still tired,neutral
1960605248,boredom,analauraleao,bored...disgusting weather..bored..sooo bored for my last weekend here,disgust
1960630480,boredom,lynnychien,"i dislike math, but math HATES me",anger
1960672880,boredom,courtdee22,Ok super bored... guess no one else it,disappointment
1960908419,boredom,monicananz,I am sooooooo bored in textiles !,annoyance
1960911358,boredom,HiBee,Moving in the rain is not fun. Last day in the Hamptons,realization
1961080721,boredom,taylooor22,this weekends abouttttto SUCK,annoyance
1961088700,boredom,danieirish,at work getting a quick bite to eat before having to kill my wrist self addressing 500 envolopes,neutral
1961096876,boredom,MeganOgilvie,Youtube isn't working...and I wanted to watch Britains Got Talent.  I'm debating about having a pity party.,disappointment
1961105110,boredom,joshtastic1,@h269 revising as uni exams are looming,neutral
1961224347,boredom,Leah_Liddell,Its seriously quiet and lonely here without Bunny,disappointment
1961409814,boredom,chloethelwell,@KatherineLunt Really bored tonight though  Your book I think (Y) xxxxx,neutral
1961455628,boredom,jarelloveless,"Just got home from the bank, the teller was definitely hitting on me. Not interested.",neutral
1961477134,boredom,reetu_das,The gigantic initial inertial to get oneself to work after a deadline,neutral
1961616554,boredom,OliviaKnowles,Spent too much today!!! Tube journeys always take soo long. Braces on thursdayyy,neutral
1961702304,boredom,Marie_Torture,I want to go to my home!!! D: I don't like stay in the work all alone,joy
1961742569,boredom,TypicalLeo,Can't believe how gorgeous the weather has been today &amp; I've had to spend it at work!,admiration
1961869670,boredom,dsampson12,BORED.  would love someone to talk to.,love
1961887813,boredom,placerculpable,is bored. my BFF doesn't want to hang out,disappointment
1961892829,boredom,CodieLynn08,i'm so tired  of being sick ALL the time!!!!,neutral
1961893452,boredom,pbarone,Have I mentioned this bus was sloooow? on it for about one hour now,neutral
1961966158,boredom,SheaGodiva,Not really feeling like my man cherishes me  wtf ! http://myloc.me/1ZLt,love
1962003704,boredom,MARIA72,ok its been one hour im still waiting im losing my patience,annoyance
1962137981,boredom,weaksauce12,"@shaveblog Problem is, Flash isnt GPU accelerated.  The Atom 330 can't play Youtube HD or Hulu HD fullscreen   Big deal with Plex...",neutral
1962222720,boredom,cherryblossom15,I totally want some white chocolate macadamia cookies from Mrs. Fields but the mall is soooo far away. Bleh  i think I'll make my own,neutral
1962253845,boredom,BBCasper,@BlueEyedGirl18 One hour and fifteen minutes.  A dreadful wait.,fear
1962319938,boredom,t_cube,Just woke up and feels so damn lazy  time to work out damnit!,realization
1962376018,boredom,Samantha_Mariee,@BOPandTigerBeat i love those boys. i missed the chat yesterday  it was the firts &amp; only one i'll miss though! &lt;333 Nick Jonas &lt;3333,love
1962388047,boredom,Blogography,"@Julius_Beez - I'm 20% hetero-challenged, but still didn't care for &quot;Milk&quot;... I thought it was boring.",realization
