tweet_id,sentiment,author,content,dominant_emotion
1956967789,enthusiasm,czareaquino,wants to hang out with friends SOON!,joy
1956981427,enthusiasm,Caillie,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",neutral
1957066701,enthusiasm,FinIsKing,I want another tatt,desire
1957067779,enthusiasm,Maureen12683,"So, I need to make a lot of money tomorrow",excitement
1957073668,enthusiasm,kort030,@lilxamyx08 i know ridiculous! we never got to hang out  i love chicago and want to go shopping... so a trip sounds like fun,amusement
1957093096,enthusiasm,AmyIsDayDreamin,one week till exam block,neutral
1957097730,enthusiasm,dappyiznum1,@calvinharris stop talkin about food haha fill like sum nw  hha hows your day goin or starting,amusement
1957104830,enthusiasm,juliancarter,Q: what studio created 'Open Season'? should google it or look at the dvd downstairs but feeling lazy,confusion
1957136998,enthusiasm,Dutchie_Lizz,Counting the minutes when my dad's g-friend is leaving,neutral
1957137171,enthusiasm,dancer2techie,@leopardqueen @seekinspiration Have fun! I miss you guys a lot!,joy
1957145546,enthusiasm,stinkylink,I am going to die tomorrow night.  @emilazy should be here.,neutral
1957153131,enthusiasm,Lau_Morales,"@drewseeley hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there",admiration
1957179157,enthusiasm,waaaida,boring. i wanna go for taekwando,neutral
1957179475,enthusiasm,HDrobiarz,Watching Leno for the second to last time on the Tonight Show,neutral
1957207781,enthusiasm,kinarodriguez,Only one more day of Jay Leno  que sad!,sadness
1957209385,enthusiasm,Maiababyblu,Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep,curiosity
1957265858,enthusiasm,skupiter628,i want candy!!!,desire
1957273826,enthusiasm,RealRobMugabe,Dying to get my hands on the Diagnosis Murder DVD boxset but those pesky kids at Amazon still won't deliver to Zimbabwe,excitement
1957285346,enthusiasm,JosBirken,Just discovered a shortcoming of Gravity. When you use Twitpic (integrated) it doesn't subtract the pic URL from the 140 character limit,realization
1957343450,enthusiasm,brindy,"Google Wave looks cool. I should be working for these guys, I came up with some of these ideas years ago.  http://tinyurl.com/m77gp7",approval
1957388131,enthusiasm,JULINSKI,"worked out tonight, had to work off the Cheesecake I ate todAY. To all the pple who are on a diet.. DON'T QUIT! It's not worth it",caring
1957413675,enthusiasm,Neekatron,@ScottRhodie I wanna be drinking at the pub,neutral
1957415150,enthusiasm,welshblue78,"Up early this morning, first to portmeirion then home",approval
1957432228,enthusiasm,Liz31tt,"Getting ready for work and the sun is shining, plus it's the w/e! Bgt tonight..... what am I gonna do after it's finished?!",curiosity
1957440197,enthusiasm,FoOie,@gnoserif FANTASTIC IDEA.. you the man! but I'll end up all lonely when the tourist goes home,disappointment
1957474232,enthusiasm,marci723,@JustcallmeMac your making me jealous now  I want one! How long have u guys been married?,annoyance
1957489961,enthusiasm,loveli,can't tell you how thrilled I am to have just had a nosebleed.  first time in ages.  overjoyed doesn't cover it.  urgh,excitement
1957490410,enthusiasm,Sagan_Myers,@katieclair88 You guys didn't call or come over  Did we do something?! Def. give us a call tomorrow and hang out with us chick!!,neutral
1957506331,enthusiasm,Hengonz81,Well I'm going to try and sleep now I have to be at work at 9 tomorrow  and then the weekend starts!!!!  http://myloc.me/1XTs,approval
1957513178,enthusiasm,nickyjames,got my cable set up! WIN!  got my lock put on my door! WIN! feeling a tad neglected... FAIL.,amusement
1957519801,enthusiasm,PERUAN0,"Wow, been away 4 a while...stupid lap top is in the shop...still    Hope everyone is well!",optimism
1957520723,enthusiasm,zeabphotos,I Need to get my friggin cameras cleand ASAP !!,neutral
1957533699,enthusiasm,RopeMarksMuse,"At work   leave for Berlin at 17:00 by car, will be a late arrival",approval
1957613292,enthusiasm,Ithinkimlost,"@ubuntugeeks good morning to you!  No wait, its evening.  You still have a whole day of work to go before the weekend!",neutral
