tweet_id,sentiment,author,content,dominant_emotion
1956972097,fun,schiz0phren1c,"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",amusement
1956977187,fun,diNGUYEN31,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform,admiration
1957001854,fun,Samiijoo,RIP leonardo. You were a great mini fiddler crab,grief
1957005696,fun,nickhalme,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.,confusion
1957007268,fun,EmaMolly,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?,amusement
1957007437,fun,grrimadinox,"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay",admiration
1957010329,fun,NoteRobot,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.,approval
1957031859,fun,KylieMalchus,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though,excitement
1957079355,fun,drugunter,"i should be finished.... but i'm not.  color drawing, here i come.",neutral
1957119110,fun,Jensiphone,@plantweb  Lettuce &amp; spinach does best in cool weather.. I live in florida..not much luck growing those..,neutral
1957124444,fun,fangirldak,@JetWolf I know I enjoy watching you two on twitter. About as entertaining as the comic.  That I miss,joy
1957134278,fun,tractorqueen,My BFF rocking Hotel California now. No @NKOTB songs!  done stay the same. What's next? Hmmm.. Careless whisper!,confusion
1957150281,fun,joeboyfresh,@BriannaBanshee such a dissapointment  hhaha,amusement
1957151886,fun,xdetergentx,"creeped it up at the ice cream social! good times. lars and the real girl, such a sad movie",joy
1957171745,fun,J_Cahn,was playing street fighter IV and Seth Raped me,neutral
1957192594,fun,itsurgirld,must clear out my DVR... getting rid of it tomorrw.,neutral
1957202373,fun,Embabe09,@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?,amusement
1957216783,fun,xoxnicoco,i wish i was at @angelcore's burning trees and trying on dresses...,desire
1957216827,fun,shellsandcheese,I just spent 2 hours playing TF2 and I don't think I'm any better at it than when I started.,disappointment
1957232619,fun,lowennn,is it unny today or not? taking too long to decide haha. i wna get a tan,amusement
1957245904,fun,TimDaTiger,"I just watched 7 pounds, maaaannnnnnnnn!",neutral
1957251669,fun,stacespace,so much fun at the beach today!  and delicious dinner at @kimbononowowo's house!! i friggin love Mark and Josh!! I'm gonna miss them!!,love
1957292590,fun,thatgirlFel,@OXtravaganza and I was just gonna ask you if you wanted to go to CLUB Hidden House on sat night. hehe.,amusement
1957319044,fun,AlyshiaSheree,@TerrenceJ106  aww-that's my last one. Roo-Oop,neutral
1957319291,fun,dratsab,@ghozali actually I'd prefer a rum or gin but don't have have any as I've preferred them too much previously,neutral
1957335162,fun,A_RAVEN,@kevindavis1914 @taylorblack said no  ...she'll b @ home in 5mins to tweet u lol,amusement
1957342606,fun,melmariedavis,i really want a blackberry  my sidekick is hella wack. night,annoyance
